"","date","pm10_max"
"430",2018-12-14,169
"431",2018-12-15,176
"432",2018-12-16,148
"433",2018-12-17,218
"434",2018-12-18,261
"435",2018-12-19,148
"436",2018-12-20,221
"437",2018-12-21,219
"438",2018-12-22,248
"439",2018-12-23,213
"440",2018-12-24,325
"441",2018-12-25,414
"442",2018-12-26,201
"443",2018-12-27,226
"444",2018-12-28,188
"445",2018-12-29,197
"446",2018-12-30,191
"447",2018-12-31,270
"448",2019-01-01,653
"449",2019-01-02,205
"450",2019-01-03,215
"451",2019-01-04,239
"452",2019-01-05,218
"453",2019-01-06,198
"454",2019-01-07,243
"455",2019-01-08,253
"456",2019-01-09,209
"457",2019-01-10,162
"458",2019-01-11,192
"459",2019-01-12,161
"460",2019-01-13,73
"461",2019-01-14,118
"462",2019-01-15,161
"463",2019-01-16,190
"464",2019-01-17,223
"465",2019-01-18,166
"466",2019-01-19,169
"467",2019-01-20,133
"468",2019-01-21,212
"469",2019-01-22,418
"470",2019-01-23,216
"471",2019-01-24,284
"472",2019-01-25,244
"473",2019-01-26,184
"474",2019-01-27,112
"475",2019-01-28,155
"476",2019-01-29,230
"477",2019-01-30,222
"478",2019-01-31,213
"479",2019-02-01,327
"480",2019-02-02,215
"481",2019-02-03,184
"482",2019-02-04,163
"483",2019-02-05,308
"484",2019-02-06,260
"485",2019-02-07,288
"486",2019-02-08,131
"487",2019-02-09,252
"488",2019-02-10,128
"489",2019-02-11,207
"490",2019-02-12,244
"491",2019-02-13,155
"492",2019-02-14,200
"493",2019-02-15,207
"494",2019-02-16,211
"495",2019-02-17,180
"496",2019-02-18,259
"497",2019-02-19,205
"498",2019-02-20,248
"499",2019-02-21,209
"500",2019-02-22,236
"501",2019-02-23,169
"502",2019-02-24,108
"503",2019-02-25,148
"504",2019-02-26,167
"505",2019-02-27,260
"506",2019-02-28,276
"507",2019-03-01,204
"508",2019-03-02,196
"509",2019-03-03,179
"510",2019-03-04,626
"511",2019-03-05,258
"512",2019-03-06,180
"513",2019-03-07,171
"514",2019-03-08,275
"515",2019-03-09,277
"516",2019-03-10,153
"517",2019-03-11,244
"518",2019-03-12,214
"519",2019-03-13,162
"520",2019-03-14,238
"521",2019-03-15,245
"522",2019-03-16,167
"523",2019-03-17,125
"524",2019-03-18,118
"525",2019-03-19,152
"526",2019-03-20,194
"527",2019-03-21,186
"528",2019-03-22,140
"529",2019-03-23,158
"530",2019-03-24,143
"531",2019-03-25,221
"532",2019-03-26,157
"533",2019-03-27,131
"534",2019-03-28,132
"535",2019-03-29,203
"536",2019-03-30,165
"537",2019-03-31,214
"538",2019-04-01,189
"539",2019-04-02,192
"540",2019-04-03,180
"541",2019-04-04,172
"542",2019-04-05,158
"543",2019-04-06,119
"544",2019-04-07,123
"545",2019-04-08,157
"546",2019-04-09,232
"547",2019-04-10,168
"548",2019-04-11,192
"549",2019-04-12,225
"550",2019-04-13,151
"551",2019-04-14,199
"552",2019-04-15,182
"553",2019-04-16,202
"554",2019-04-17,251
"555",2019-04-18,226
"556",2019-04-19,108
"557",2019-04-20,171
"558",2019-04-21,161
"559",2019-04-22,279
"560",2019-04-23,214
"561",2019-04-24,169
"562",2019-04-25,299
"563",2019-04-26,266
"564",2019-04-27,192
"565",2019-04-28,173
"566",2019-04-29,188
"567",2019-04-30,171
"568",2019-05-01,148
"569",2019-05-02,223
"570",2019-05-03,142
"571",2019-05-04,154
"572",2019-05-05,131
"573",2019-05-06,195
"574",2019-05-07,173
"575",2019-05-08,152
"576",2019-05-09,174
"577",2019-05-10,201
"578",2019-05-11,217
"579",2019-05-12,209
"580",2019-05-13,215
"581",2019-05-14,241
"582",2019-05-15,307
"583",2019-05-16,373
"584",2019-05-17,170
"585",2019-05-18,148
"586",2019-05-19,169
"587",2019-05-20,148
"588",2019-05-21,441
"589",2019-05-22,161
"590",2019-05-23,241
"591",2019-05-24,219
"592",2019-05-25,210
"593",2019-05-26,94
"594",2019-05-27,174
"595",2019-05-28,185
"596",2019-05-29,258
"597",2019-05-30,222
"598",2019-05-31,183
"599",2019-06-01,149
"600",2019-06-02,66
"601",2019-06-03,66
"602",2019-06-04,91
"603",2019-06-05,122
"604",2019-06-06,88
"605",2019-06-07,93
"606",2019-06-08,125
"607",2019-06-09,119
"608",2019-06-10,175
"609",2019-06-11,88
"610",2019-06-12,142
"611",2019-06-13,78
"612",2019-06-14,75
"613",2019-06-15,137
"614",2019-06-16,178
"615",2019-06-17,123
"616",2019-06-18,180
"617",2019-06-19,103
"618",2019-06-20,135
"619",2019-06-21,109
"620",2019-06-22,105
"621",2019-06-23,110
"622",2019-06-24,78
"623",2019-06-25,80
"624",2019-06-26,110
"625",2019-06-27,93
"626",2019-06-28,65
"627",2019-06-29,63
"628",2019-06-30,99
"629",2019-07-01,63
"630",2019-07-02,119
"631",2019-07-03,72
"632",2019-07-04,144
"633",2019-07-05,122
"634",2019-07-06,102
"635",2019-07-07,94
"636",2019-07-08,157
"637",2019-07-09,142
"638",2019-07-10,84
"639",2019-07-11,77
"640",2019-07-12,73
"641",2019-07-13,69
"642",2019-07-14,85
"643",2019-07-15,127
"644",2019-07-16,100
"645",2019-07-17,97
"646",2019-07-18,111
"647",2019-07-19,88
"648",2019-07-20,78
"649",2019-07-21,106
"650",2019-07-22,89
"651",2019-07-23,122
"652",2019-07-24,86
"653",2019-07-25,79
"654",2019-07-26,70
"655",2019-07-27,63
"656",2019-07-28,87
"657",2019-07-29,124
"658",2019-07-30,96
"659",2019-07-31,155
"660",2019-08-01,150
"661",2019-08-02,139
"662",2019-08-03,143
"663",2019-08-04,87
"664",2019-08-05,96
"665",2019-08-06,90
"666",2019-08-07,69
"667",2019-08-08,87
"668",2019-08-09,119
"669",2019-08-10,91
"670",2019-08-11,53
"671",2019-08-12,95
"672",2019-08-13,162
"673",2019-08-14,112
"674",2019-08-15,105
"675",2019-08-16,121
"676",2019-08-17,143
"677",2019-08-18,112
"678",2019-08-19,78
"679",2019-08-20,88
"680",2019-08-21,109
"681",2019-08-22,93
"682",2019-08-23,116
"683",2019-08-24,99
"684",2019-08-25,93
"685",2019-08-26,97
"686",2019-08-27,106
"687",2019-08-28,117
"688",2019-08-29,104
"689",2019-08-30,138
"690",2019-08-31,98
"691",2019-09-01,126
"692",2019-09-02,95
"693",2019-09-03,116
"694",2019-09-04,164
"695",2019-09-05,95
"696",2019-09-06,107
"697",2019-09-07,104
"698",2019-09-08,94
"699",2019-09-09,118
"700",2019-09-10,85
"701",2019-09-11,74
"702",2019-09-12,99
"703",2019-09-13,58
"704",2019-09-14,56
"705",2019-09-15,111
"706",2019-09-16,89
"707",2019-09-17,85
"708",2019-09-18,80
"709",2019-09-19,92
"710",2019-09-20,110
"711",2019-09-21,90
"712",2019-09-22,86
"713",2019-09-23,111
"714",2019-09-24,110
"715",2019-09-25,99
"716",2019-09-26,101
"717",2019-09-27,90
"718",2019-09-28,84
"719",2019-09-29,39
"720",2019-09-30,65
"721",2019-10-01,63
"722",2019-10-02,87
"723",2019-10-03,103
"724",2019-10-04,85
"725",2019-10-05,84
"726",2019-10-06,73
"727",2019-10-07,90
"728",2019-10-08,54
"729",2019-10-09,101
"730",2019-10-10,92
"731",2019-10-11,86
"732",2019-10-12,49
"733",2019-10-13,82
"734",2019-10-14,117
"735",2019-10-15,138
"736",2019-10-16,67
